Forecast_Date,Actual_BTC_Price,ARIMA_CHAMPION,LSTM_NeuralNet,Prophet_Trend,SARIMA_Seasonal,ENSEMBLE_Average,ARIMA_Error_$,ARIMA_Error_%
2025-08-18,116252.3125,117456.84356673766,93354.55,117453.0625,117575.95631715136,111460.10231472226,1204.5310667376616,1.0361351450429526
2025-08-19,112831.1796875,117457.28654473605,93447.016,117580.62984375,117848.51695993064,111583.36224335418,4626.106857236053,4.100025250155703
2025-08-20,114274.7421875,117457.33844265816,93579.52,117708.1971875,118977.27647048928,111930.58388453686,3182.5962551581615,2.7850391033359
2025-08-21,112419.03125,117457.34452285702,93763.086,117835.76453125,117858.17025190862,111728.59131087891,5038.31327285702,4.481726284985239
2025-08-22,116874.0859375,117457.34523519417,93992.31,117963.331875,117904.3659962033,111829.33890159937,583.2592976941669,0.49904929139387894
2025-08-23,115374.328125,117457.34531864937,94256.01,118090.89921875,117936.77412797134,111935.25661946768,2083.0171936493716,1.8054425343154057
2025-08-24,113458.4296875,117457.34532842672,94542.72,118218.4665625,118016.2759401335,112058.70164526506,3998.915640926716,3.5245645933413505
2025-08-25,110124.3515625,117457.3453295722,94843.266,118346.03390625,118280.95018303068,112231.89876096323,7332.993767072199,6.6588303704203256
2025-08-26,111802.65625,117457.3453297064,95151.26,118473.60125,118316.22267416463,112349.60676659275,5654.689079706397,5.057741264270184
2025-08-27,111222.0625,117457.34532972211,95462.66,118601.16859375,119030.35276162527,112637.88073377435,6235.282829722113,5.606156449150647
2025-08-28,112544.8046875,117457.34532972396,95775.29,118728.7359375,118696.04074441672,112664.35276853517,4912.540642223961,4.364964385396976
2025-08-29,108410.8359375,117457.34532972418,96088.15,118856.30328125,118946.79534334349,112837.14809795441,9046.50939222418,8.344654216520928
2025-08-30,108808.0703125,117457.34532972421,96400.875,118983.870625,118966.92917406399,112952.25503219705,8649.275017224209,7.949111671940541
2025-08-31,108236.7109375,117457.34532972421,96713.48,119111.43796875,119070.37276419297,113088.1581562918,9220.634392224209,8.518952869464552
2025-09-01,109250.59375,117457.34532972421,97026.01,119239.0053125,119363.85924818758,113271.55442572795,8206.751579724209,7.51185993414723
2025-09-02,111200.5859375,117457.34532972421,97338.6,119366.57265625,119350.98372856688,113378.37581926028,6256.759392224209,5.626552539696872
2025-09-03,111723.2109375,117457.34532972421,97651.32,119494.14,119980.96115885592,113645.94170027004,5734.134392224209,5.132446824708599
2025-09-04,110723.6015625,117457.34532972421,97964.18,119621.70734375,119806.00897923394,113712.31033505204,6733.743767224209,6.081579421369546
2025-09-05,110650.984375,117457.34532972421,98277.164,119749.2746875,120098.32136118154,113895.52636022645,6806.360954724209,6.151197834496633
2025-09-06,110224.6953125,117457.34532972421,98590.234,119876.84203125,120115.99050454324,114010.10306012936,7232.650017224209,6.561732828309294
2025-09-07,111167.6171875,117457.34532972421,98903.33,120004.409375,120224.3221563842,114147.3512465271,6289.728142224209,5.657877987629875
2025-09-08,112071.4296875,117457.34532972421,99216.35,120131.97671875,120523.68552006163,114332.33978275897,5385.915642224209,4.805788288096526
2025-09-09,111530.546875,117457.34532972421,99529.31,120259.5440625,120501.06204998505,114436.81598555231,5926.798454724209,5.314058453749699
2025-09-10,113955.359375,117457.34532972421,99842.08,120387.11140625,121113.98169505884,114700.12913900826,3501.9859547242086,3.073120890435706
2025-09-11,115507.5390625,117457.34532972421,100154.66,120514.67875,120971.41075101736,114774.5227701854,1949.8062672242086,1.6880337708252857
2025-09-12,116101.578125,117457.34532972421,100466.96,120642.24609375,121272.18764778439,114959.68500218965,1355.7672047242086,1.1677422707075789
2025-09-13,115950.5078125,117457.34532972421,100778.96,120769.8134375,121289.3836557135,115073.87584010942,1506.8375172242086,1.299552322496827
2025-09-14,115407.65625,117457.34532972421,101090.61,120897.38078125,121398.73495520832,115211.01761029563,2049.6890797242086,1.7760425489311578
2025-09-15,115444.875,117457.34532972421,101401.875,121024.948125,121699.31871506652,115395.87179244768,2012.4703297242086,1.7432305502727674
2025-09-16,116843.1875,117457.34532972421,101712.71,121152.51546875,121674.74341045033,115499.32878660614,614.1578297242086,0.5256257064402737
2025-09-17,116468.5078125,117457.34532972421,102023.11,121280.0828125,122284.22713886954,115761.19116402343,988.8375172242086,0.8490170740541431
2025-09-18,117137.203125,117457.34532972421,102332.99,121407.65015625,122148.2576097133,115836.56132079687,320.14220472420857,0.27330531734019375
2025-09-19,115688.859375,117457.34532972421,102642.36,121535.2175,122450.78023287878,116021.42560940076,1768.4859547242086,1.528657093066969
2025-09-20,115721.9609375,117457.34532972421,102951.17,121662.78484375,122467.90739850719,116134.80236174536,1735.3843922242086,1.4996154387337666
2025-09-21,115306.09375,117457.34532972421,103259.38,121790.3521875,122577.49292155133,116271.14331281888,2151.2515797242086,1.8656876750923743
2025-09-22,112748.5078125,117457.34532972421,103566.96,121917.91953125,122878.35165601148,116455.14436362142,4708.837517224209,4.176407837747151
2025-09-23,112014.5,117457.34532972421,103873.875,122045.486875,122853.40727929141,116557.5286210039,5442.845329724209,4.859054256122384
2025-09-24,113328.6328125,117457.34532972421,104180.1,122173.05421875,123462.22062459613,116818.18043389259,4128.712517224209,3.6431327324446614
2025-09-25,109049.2890625,117457.34532972421,104485.57,122300.6215625,123327.61853170543,116892.78893410742,8408.056267224209,7.710326531707377
2025-09-26,109712.828125,117457.34532972421,104790.3,122428.18890625,123630.52276109612,117076.58846801758,7744.517204724209,7.058898523608001
2025-09-27,109681.9453125,117457.34532972421,105094.22,122555.75625,123647.66312503656,117188.74586369019,7775.400017224209,7.08904277278357
2025-09-28,112122.640625,117457.34532972421,105397.33,122683.32359375,123757.32337038642,117323.83010471516,5334.704704724209,4.757919252514223
